iso,nodetype,node,curve,year,error
ercot,node,CAL_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,DECKER_DPG1,fmm,2017,Error: Bad frequency in data
ercot,node,ETCCS_CCU,fmm,2017,Error: Bad frequency in data
ercot,node,FAL_FALCONG1,fmm,2017,Error: Bad frequency in data
ercot,node,HLSES_UNIT3,fmm,2017,Error: Bad frequency in data
ercot,node,HRFDWIND_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,LGW_UNIT_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,LNCRK_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,MARBFA,fmm,2017,Error: Bad frequency in data
ercot,node,NEDIN_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,OECCS_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,PB2SES_CT5,fmm,2017,Error: Bad frequency in data
ercot,node,PEARSA_1_24,fmm,2017,Error: Bad frequency in data
ercot,node,PSA_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,PSA_PUN5,fmm,2017,Error: Bad frequency in data
ercot,node,SANDHSYD_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,VICTORIA_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,WCPP_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,CBEC_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,BYU_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,HB_SOUTH,fmm,2017,Error: Bad frequency in data
ercot,node,BASTEN_CCU,fmm,2017,Error: Bad frequency in data
ercot,node,BSF_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,DUP_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,FRNYPP_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,HAYSEN3_4,fmm,2017,Error: Bad frequency in data
ercot,node,MIRAGE_G1,fmm,2017,Error: Bad frequency in data
ercot,node,CBEC_CC2,fmm,2017,Error: Bad frequency in data
ercot,node,CBY_CBY_G2,fmm,2017,Error: Bad frequency in data
ercot,node,DUKE_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,DUP_PUN3,fmm,2017,Error: Bad frequency in data
ercot,node,FRNYPP_CC2,fmm,2017,Error: Bad frequency in data
ercot,node,MIRASOLE_GEN,fmm,2017,Error: Bad frequency in data
